번호,대분야,소분야,약칭,학회명,등급,비고
2014-S-001,CS,Alg,FOCS,IEEE Symposium on Foundations of Computer Science,S,
2014-S-002,CS,Alg,STOC,ACM Symposium on Theory of Computing,S,
2014-S-003,CS,Alg,SODA,ACM/SIAM Symposium on Discrete Algorithms,S,
2014-S-004,CS,PL,LICS,ACM/IEEE Symposium on Logic in Computer Science,S,
2014-S-005,CS,Alg,SOCG,Annual Symposium on Computational Geometry,S,
2014-S-006,AI,ML,AAAI,AAAI Conference on Artificial Intelligence,S,
2014-S-007,AI,ML,IJCAI,International Joint Conference on Artificial Intelligence,S,
2014-S-008,AI,ML,ICML,IEEE International Conference on Machine Learning,S,
2014-S-009,AI,ML,NeurIPS,Conference on Neural Information Processing Systems,S,
2014-S-010,AI,CV,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,S,
2014-S-011,AI,CV,ICCV,IEEE/CVF International Conference on Computer Vision,S,
2014-S-012,AI,CV,ECCV,European Conference on Computer Vision,S,
2014-S-013,AI,NLP,ACL,Annual Meeting of the Association for Computational Linguistics,S,
2014-S-014,AI,NLP,COLING,International Conference on Computational Linguistics,S,
2014-S-015,CS,Arch,ISCA,ACM/IEEE International Symposium on Computer Architecture,S,
2014-S-016,CS,Arch,MICRO,IEEE/ACM International Symposium on Microarchitecture,S,
2014-S-017,CS,Arch,HPCA,International Symposium on High-Performance Computer Architecture,S,
2014-S-018,CS,OS,ASPLOS,Architectural Support for Programming Languages and Operating Systems,S,
2014-S-019,CS,Arch,DAC,Design Automation Conference,S,
2014-S-020,CS,OS,SOSP,ACM SIGOPS Symposium on Operating Systems Principles,S,
2014-S-021,CS,OS,USENIX OSDI,USENIX Symposium on Operating Systems Design and Implementation,S,
2014-S-022,CS,OS,USENIX FAST,USENIX Conference on File and Storage Technologies,S,
2014-S-023,CS,OS,USENIX ATC,USENIX Annual Technical Conference,S,
2014-S-024,CS,OS,EuroSys,European Conference on Computer Systems,S,
2014-S-025,CS,OS,RTSS,IEEE Real-Time Systems Symposium,S,
2014-S-026,CS,OS,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,S,
